ID,Emoji,Sentiment,Makna Emoji,Special Tag,Makna_ID,Special_Tag_ID
1,😛,negative,Face With Stuck-Out Tongue, <FACE WITH STUCK-OUT TOUNGES>,Wajah Menjulurkan Lidah,<Wajah Menjulurkan Lidah>
2,😠,negative,Angry Face,<Angry Face>,Wajah Marah,<Wajah Marah>
3,💣,negative,Bomb,<Bomb>,Bom,<Bom>
4,💔,negative,Broken Heart,<Broken Heart>,Hati Patah,<Hati Patah>
5,😕,negative,Confused Face,<Confused Face>,Wajah Bingung,<Wajah Bingung>
6,😞,negative,Disappointed Face,<Disappointed Face>,Wajah Kecewa,<Wajah Kecewa>
7,😑,negative,Expressionless Face,<Expressionless Face>,Wajah Tanpa Ekspresi,<Wajah Tanpa Ekspresi>
8,😋,negative,Face Savouring Delicious Food,<Face Savouring Delicious Food>,Wajah Menikmati Makanan Lezat,<Wajah Menikmati Makanan Lezat>
9,😱,negative,Face Screaming in Fear,<Face Screaming in Fear>,Wajah Berteriak Ketakutan,<Wajah Berteriak Ketakutan>
10,😓,negative,Face With Cold Sweat,<Face With Cold Sweat>,Wajah Dengan Keringat Dingin,<Wajah Dengan Keringat Dingin>
11,😮,negative,Face With Open Mouth,<Face With Open Mouth>,Wajah Terperangah Terbuka,<Wajah Terperangah Terbuka>
12,😤,negative,Face With Steam From Nose,<Face With Steam From Nose>,Wajah Mengeluarkan Uap Dari Hidung,<Wajah Mengeluarkan Uap Dari Hidung>
13,😝,negative,Face With Stuck-Out Tongue & Closed Eyes,<Face With Stuck-Out Tongue & Closed Eyes>,Wajah Menjulurkan Lidah Dan Mata Tertutup,<Wajah Menjulurkan Lidah Dan Mata Tertutup>
14,😶,negative,Face Without Mouth,<Face Without Mouth>,Wajah Tanpa Mulut,<Wajah Tanpa Mulut>
15,🔥,negative,Fire,<Fire>,Api,<Api>
16,☹,negative,Frowning Face,<Frowning Face>,Wajah Merengut,<Wajah Merengut>
17,😬,negative,Grimacing Face,<Grimacing Face>,Wajah Meringis,<Wajah Meringis>
18,⚡,negative,High Voltage,<High Voltage>,Tegangan Tinggi,<Tegangan Tinggi>
19,🤥,negative,Lying Face,<Lying Face>,Wajah Berbohong,<Wajah Berbohong>
20,😣,negative,Persevering Face,<Persevering Face>,Wajah Bertahan Menderita,<Wajah Bertahan Menderita>
21,🙇,negative,Person Bowing,<Person Bowing>,Orang Membungkuk,<Orang Membungkuk>
22,🏃,negative,Person Running,<Person Running>,Orang Berlari,<Orang Berlari>
23,🐽,negative,Pig Nose,<Pig Nose>,Hidung Babi,<Hidung Babi>
24,😡,negative,Pouting Face,<Pouting Face>,Wajah Bersungut Marah,<Wajah Bersungut Marah>
25,🙈,negative,See-No-Evil Monkey,<See-No-Evil Monkey>,Monyet Menutup Mata,<Monyet Menutup Mata>
26,🙁,negative,Slightly Frowning Face,<Slightly Frowning Face>,Wajah Agak Merengut,<Wajah Agak Merengut>
27,🙊,negative,Speak-No-Evil Monkey,<Speak-No-Evil>,Monyet Menutup Mulut,<Monyet Menutup Mulut>
28,🤔,negative,Thinking Face,<Thinking Face>,Wajah Berpikir,<Wajah Berpikir>
29,👎,negative,Thumbs Down,<Thumbs Down>,Jempol Ke Bawah,<Jempol Ke Bawah>
30,👅,negative,Tongue,<Tongue>,Lidah,<Lidah>
31,😩,negative,Weary Face,<Weary Face>,Wajah Lelah Lesu,<Wajah Lelah Lesu>
32,🤐,negative,Zipper-Mouth Face,<Zipper-Mouth Face>,Wajah Mulut Resleting,<Wajah Mulut Resleting>
33,😐,negative,Neutral Face,<Neutral Face>,Wajah Netral,<Wajah Netral>
34,🙄,negative,Face With Rolling Eyes,<Face With Rolling Eyes>,Wajah Memutar Mata,<Wajah Memutar Mata>
35,😏,negative,Smirking Face,<Smirking Face>,Wajah Tersenyum Sinis,<Wajah Tersenyum Sinis>
36,😥,negative,Disappointed but Relieved Face,<Disappointed but Relieved Face>,Wajah Kecewa Tapi Lega,<Wajah Kecewa Tapi Lega>
37,😯,negative,Hushed Face,<Hushed Face>,Wajah Terbungkam,<Wajah Terbungkam>
38,😪,negative,Sleepy Face,<Sleepy Face>,Wajah Mengantuk,<Wajah Mengantuk>
39,😫,negative,Tired Face,<Tired Face>,Wajah Sangat Lelah,<Wajah Sangat Lelah>
40,😴,negative,Sleeping Face,<Sleeping Face>,Wajah Tidur,<Wajah Tidur>
41,😌,negative,Relieved Face,<Relieved Face>,Wajah Lega,<Wajah Lega>
42,😜,negative,Face With Stuck-Out Tongue & Winking EyeNegatif,<Face With Stuck-Out Tongue & Winking EyeNegatif>,Wajah Menjulurkan Lidah Dan Mengedipkan Mata,<Wajah Menjulurkan Lidah Dan Mengedipkan Mata>
43,🤤,negative,Drooling Face,<Drooling Face>,Wajah Mengiler,<Wajah Mengiler>
44,😒,negative,Unamused Face,<Unamused Face>,Wajah Tidak Terhibur,<Wajah Tidak Terhibur>
45,😔,negative,Pensive Face,<Pensive Face>,Wajah Termenung Sedih,<Wajah Termenung Sedih>
