nomor_baris,file_sumber,tweet,label_saat_ini,label_seharusnya,tingkat_keyakinan,alasan,status
1,negatif,wah belom liat muka gue lagi murka hahahaha 😡😤,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
2,negatif,"Mungkin kurang piknik adrenalin 🙄. Mereka yang skeptis tuh kek bad-debitor yang mau seluruh data debitur bank hilang 💣, atau kek mahasiswa-pemalas yang ngarepin data nilai seluruh kampus hancur 🤣. Kaum ""merasa"" paling sengsara yang gak mo pusing sendirian oleh masalahnya 😒.",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
3,negatif,Yg membuat lidahku... 👅 Gugup tak bergerak 😰,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
4,negatif,"Lho kok buru-buru mengatakan orang marah? 🙄 Keknya anda salah tafsir. 😒 Bukan marah sih, cuma mual-mual karena jijik. 🤢",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
5,negatif,"Apalagi yang jualan Spotify premium banyak banget, lama-lama bikin risih 😒🙄",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
6,negatif,Buaya darat buset aku tertipu lagi 😭💔,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
7,negatif,"kalo lu gitugitu aja masih kurang syukur, gimana aku nad?! wkwk 🙄😂",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
8,negatif,Semoga jangan deh 😱. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan 😰,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
9,negatif,"Hahaha, ya memang gitu. Baru pakai semester ini, ternyata lumayan nyusahin juga 🤣 Terkejut 😱",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
10,negatif,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya 🤔 Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka 😔 Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna 😶 Dalam setiap Berita Unsri 😢,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
