nomor_baris,file_sumber,tweet,label_saat_ini,label_seharusnya,tingkat_keyakinan,alasan,status
1,negatif,wah belom liat muka gue lagi murka hahahaha  <Wajah Bersungut Marah>  <Wajah Mengeluarkan Uap Dari Hidung> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
4,negatif,"Lho kok buru-buru mengatakan orang marah?  <Wajah Memutar Mata>  Keknya anda salah tafsir.  <Wajah Tidak Terhibur>  Bukan marah sih, cuma mual-mual karena jijik.  <Wajah Mual> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
5,negatif,"Apalagi yang jualan Spotify premium banyak banget, lama-lama bikin risih  <Wajah Tidak Terhibur>  <Wajah Memutar Mata> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
6,negatif,Buaya darat buset aku tertipu lagi  <Wajah Menangis Kencang>  <Hati Patah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
7,negatif,"kalo lu gitugitu aja masih kurang syukur, gimana aku nad?! wkwk  <Wajah Memutar Mata>  <Wajah Menangis Gembira> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
8,negatif,Semoga jangan deh  <Wajah Berteriak Ketakutan> . Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan  <Wajah Mulut Terbuka Dan Keringat Dingin> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
9,negatif,"Hahaha, ya memang gitu. Baru pakai semester ini, ternyata lumayan nyusahin juga  <Tertawa Terpingkal-Pingkal>  Terkejut  <Wajah Berteriak Ketakutan> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
10,negatif,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya  <Wajah Berpikir>  Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka  <Wajah Termenung Sedih>  Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna  <Wajah Tanpa Mulut>  Dalam setiap Berita Unsri  <Wajah Menangis> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
11,negatif,"Makanya aku juga heran, kenapa tidak skip aja seh yang ini, sumpah malesin banget  <Wajah Memutar Mata>  <Wajah Tidak Terhibur> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
12,negatif,Pyo saja liatnya kesal  <Wajah Marah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
13,negatif,kalo ada yang tersinggung dari twit 10 tahun yang lalu yang keluar dari jempol bocah 14 tahun ya bego sih wgwgwg  <Wajah Memutar Mata>  <Tertawa Terpingkal-Pingkal> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
14,negatif,Anjaaay ngeri nyaks  <Wajah Berteriak Ketakutan> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
16,negatif,Ini paling hal benci dari sd sampe smp anjing wkwkwlwkw  <Wajah Marah>  <Wajah Memutar Mata> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
17,negatif,eh ngeri bernada ancaman  <Wajah Berteriak Ketakutan>  <Wajah Berteriak Ketakutan>  <Wajah Berteriak Ketakutan> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
18,negatif,Kok aku kaya wartawan ya nanya dia mulu hahaha  <Wajah Memutar Mata>  lah dia nya mana nanya aku kan aneh ih jijik sama diri sendiri  <Wajah Mual> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
19,negatif,"maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong  <Wajah Berteriak Ketakutan>  maneh negatif pisan  <Tertawa Terpingkal-Pingkal> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
21,negatif,Bukti dan fakta klo pejabat2 INA tidak disegani oleh mereka...  <Orang Tepok Jidat>  miris malu tngkt international  <Wajah Kecewa> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
22,negatif,"Masih heran kenapa ada si manusia"" bentukan kaya gt  <Wajah Memutar Mata> , siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs  <Wajah Tidak Terhibur> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
23,negatif,"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya  <Wajah Bersungut Marah>  <Hati Patah> , mungkin perasaan inilah yang saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak  <Wajah Termenung Sedih> . Ini pelajaran berharga buat kita ya Njul ..  <Wajah Memutar Mata>  <Wajah Berpikir> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
26,negatif,"Kesian, penat merangkak tu  <Wajah Lelah Lesu>  <Wajah Kecewa> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
27,negatif,Udah kebiasaan ABS Asal Bapak Senang  <Wajah Memutar Mata>  <Wajah Tersenyum Sinis> . Jadi ya seneng kl dengar info  <Wajah Terbalik> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
28,negatif,Kaget juga Nina lihat yang membalas ternyata dia juga  <Wajah Berteriak Ketakutan> . Membela habis-habisan banget  <Wajah Memutar Mata> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
29,negatif,"apa kamu tida malu ngehujat pake nama fandom laen?  <Wajah Marah>  uda la kalo gabut mah gabut aja gosah ngajak tubir orang,  <Wajah Memutar Mata>  eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang  <Kotoran>  ups bcnd syg  <Wajah Terbalik> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
30,negatif,Anjir panas dingin yang debut siapaaa yang gugup siapaaa  <Wajah Berteriak Ketakutan>  <Wajah Mulut Terbuka Dan Keringat Dingin> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
31,negatif,take note pls. jgn bg rakyat murka ye  <Wajah Marah>  <Wajah Bersungut Marah> ,negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
32,negatif,"Saya gak kebayang dia sekarang pasti gak tentram  <Wajah Cemas> , karena komandan diperlakukan seperti yang dulunya jadi prajuritnya pasti tersinggung dan sakit sahit  <Hati Patah> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
33,negatif,"muka nya murka, badmood melihat orang orang yang masuk neraka  <Wajah Bersungut Marah>  <Api>  <Tengkorak> ",negatif,ambiguous,Rendah,"Error: ""Could not resolve authentication method. Expected",PERLU_REVIEW
